,M1,M18,M19,M2,M20,M21,M22,M23,M24,M25,M26,M29,M2country,M30,M30country,country,experimentNumber,orderNumber,training,type,userId
60,0.625,8,4,0.375,1,7,7,1,1,20,14,1,0.375,0.375,0.375,3,75,2,False,s,8FC02
61,0.5,11,11,0.625,11,11,11,11,2,18,1,3,,0.5,,0,72,2,False,n,8FC02
62,0.625,7,3,0.625,1,6,9,1,2,18,1,3,0.625,0.5,0.5,4,73,2,False,n,8FC02
63,0.25,9,8,0.125,9,9,8,8,16,19,5,4,,0.5,,0,52,5,False,e,5MS3205
64,0.25,11,11,0.125,11,11,11,11,16,19,5,4,0.125,0.5,0.5,1,53,5,False,e,5MS3205
65,0.0,9,8,0.5,9,9,9,11,6,11,10,2,,0.25,,0,56,5,False,c,5MS3205
66,0.0,9,8,0.5,9,10,9,8,6,11,10,2,0.5,0.25,0.25,2,57,5,False,c,5MS3205
67,0.0,10,8,0.25,9,8,9,10,3,2,14,1,,0.125,,0,58,5,False,s,5MS3205
68,0.625,5,4,0.25,6,11,10,7,3,2,14,1,0.25,0.125,0.125,3,59,5,False,s,5MS3205
69,0.25,11,11,0.375,11,11,11,11,12,11,7,3,,0.375,,0,54,5,False,n,5MS3205
70,0.0,7,6,0.375,7,9,9,10,12,11,7,3,0.375,0.375,0.375,4,55,5,False,n,5MS3205
71,0.75,7,6,0.375,8,7,9,2,16,3,10,1,,0.375,,0,76,4,False,e,9FH04
72,0.375,10,9,0.375,14,15,8,9,16,3,10,1,0.375,0.375,0.375,1,77,4,False,e,9FH04
73,0.25,7,7,0.25,16,5,3,5,10,15,7,4,,0.25,,0,82,4,False,c,9FH04
74,0.125,7,9,0.25,17,15,6,9,10,15,7,4,0.25,0.25,0.25,2,83,4,False,c,9FH04
75,0.0,6,9,0.5,13,13,7,9,6,7,8,2,,0.5,,0,78,4,False,s,9FH04
76,0.625,9,8,0.5,17,15,6,10,6,7,8,2,0.5,0.5,0.5,3,79,4,False,s,9FH04
77,0.25,9,6,0.25,18,17,3,5,14,10,2,3,,0.125,,0,80,4,False,n,9FH04
78,0.25,7,7,0.25,19,15,6,7,14,10,2,3,0.25,0.125,0.125,4,81,4,False,n,9FH04
79,0.5,8,8,0.5,8,9,9,1,9,7,16,2,,0.125,,0,24,7,False,e,1MW2207
80,0.25,6,5,0.5,5,9,10,1,9,7,16,2,0.5,0.125,0.125,4,25,7,False,e,1MW2207
81,0.5,6,5,0.5,4,10,7,1,7,14,15,1,,0.25,,0,20,7,False,c,1MW2207
82,0.625,9,6,0.5,5,9,10,1,7,14,15,1,0.5,0.25,0.25,1,21,7,False,c,1MW2207
83,0.5,5,3,0.5,5,13,7,1,1,20,20,3,,0.375,,0,18,7,False,s,1MW2207
84,0.875,8,9,0.5,6,10,9,1,1,20,20,3,0.5,0.375,0.375,2,19,7,False,s,1MW2207
85,0.5,8,8,0.125,8,9,8,1,5,17,5,4,,0.5,,0,22,7,False,n,1MW2207
86,0.75,13,9,0.125,10,10,12,1,5,17,5,4,0.125,0.5,0.5,3,23,7,False,n,1MW2207
87,0.25,8,13,0.375,13,7,5,10,18,7,12,4,,0.375,,0,92,6,False,e,12FRH06
88,0.5,13,13,0.375,10,8,10,11,18,7,12,4,0.375,0.375,0.375,1,93,6,False,e,12FRH06
89,0.5,5,4,0.125,5,15,7,6,12,5,13,2,,0.5,,0,98,6,False,c,12FRH06
90,0.75,12,16,0.125,13,13,14,12,12,5,13,2,0.125,0.5,0.5,2,99,6,False,c,12FRH06
91,0.5,5,5,0.125,5,16,6,4,2,5,16,1,,0.25,,0,96,6,False,s,12FRH06
92,0.625,13,13,0.125,9,12,12,8,2,5,16,1,0.125,0.25,0.25,3,97,6,False,s,12FRH06
93,0.5,5,6,0.25,7,14,5,5,1,20,7,3,,0.125,,0,94,6,False,n,12FRH06
94,0.5,12,13,0.25,10,7,12,10,1,20,7,3,0.25,0.125,0.125,4,95,6,False,n,12FRH06
95,0.25,9,2,0.375,2,11,11,2,17,1,12,3,,0.5,,0,86,9,False,e,6MDH09
96,0.375,14,1,0.375,5,11,17,2,17,1,12,3,0.375,0.5,0.5,3,87,9,False,e,6MDH09
97,0.5,11,11,0.375,11,11,11,11,12,8,13,2,,0.25,,0,90,9,False,c,6MDH09
98,0.375,9,2,0.375,6,13,9,2,12,8,13,2,0.375,0.25,0.25,4,91,9,False,c,6MDH09
99,0.25,10,2,0.25,2,20,6,1,4,17,11,2,,0.375,,0,84,9,False,s,6MDH09
100,0.625,11,1,0.25,5,16,11,3,4,17,11,2,0.25,0.375,0.375,2,85,9,False,s,6MDH09
101,0.0,5,1,0.75,16,14,8,1,2,20,11,1,,0.125,,0,88,9,False,n,6MDH09
102,0.375,7,1,0.75,6,15,9,1,2,20,11,1,0.75,0.125,0.125,1,89,9,False,n,6MDH09
103,0.5,13,10,0.25,12,14,9,10,9,2,12,3,,0.5,,0,111,8,False,e,13MM08
104,0.5,16,16,0.25,12,9,13,18,9,2,12,3,0.25,0.5,0.5,4,112,8,False,e,13MM08
105,0.5,14,10,0.25,12,13,10,12,4,9,11,2,,0.375,,0,109,8,False,c,13MM08
106,0.375,16,15,0.25,10,10,14,12,4,9,11,2,0.25,0.375,0.375,1,110,8,False,c,13MM08
107,0.5,16,9,0.375,8,16,18,12,6,7,13,4,,0.25,,0,107,8,False,s,13MM08
108,0.75,19,15,0.375,7,10,19,15,6,7,13,4,0.375,0.25,0.25,2,108,8,False,s,13MM08
109,0.5,10,10,0.5,10,13,12,10,1,11,16,1,,0.125,,0,113,8,False,n,13MM08
110,0.375,13,9,0.5,9,14,10,9,1,11,16,1,0.5,0.125,0.125,3,114,8,False,n,13MM08
111,0.5,12,8,0.25,5,9,13,6,17,2,11,2,0.25,0.375,0.375,4,102,11,False,e,12JR11
112,0.5,3,3,0.5,1,4,4,1,11,2,13,3,,0.5,,0,105,11,False,c,12JR11
113,0.875,12,6,0.5,4,13,13,6,11,2,13,3,0.5,0.5,0.5,3,106,11,False,c,12JR11
114,0.5,4,3,0.75,3,3,2,2,3,6,15,1,,0.125,,0,103,11,False,s,12JR11
115,0.625,7,5,0.75,3,9,12,5,3,6,15,1,0.75,0.125,0.125,1,104,11,False,s,12JR11
116,0.5,6,9,0.625,4,6,10,3,1,20,15,4,,0.25,,0,100,11,False,n,12JR11
117,0.75,10,7,0.625,4,9,13,6,1,20,15,4,0.625,0.25,0.25,2,101,11,False,n,12JR11
118,0.25,7,7,0.5,6,7,6,5,13,13,7,4,,0.375,,0,172,10,False,e,10F
119,0.625,10,8,0.5,12,10,8,13,13,13,7,4,0.5,0.375,0.375,3,173,10,False,e,10F
120,0.5,4,4,0.25,3,2,2,3,3,6,13,2,,0.125,,0,174,10,False,c,10F
121,0.625,11,8,0.25,7,10,9,11,3,6,13,2,0.25,0.125,0.125,4,175,10,False,c,10F
122,0.25,5,4,0.375,4,7,5,6,10,6,7,3,,0.5,,0,170,10,False,s,10F
123,0.5,10,8,0.375,9,13,7,15,10,6,7,3,0.375,0.5,0.5,2,171,10,False,s,10F
