,M14,M15,M15m,M15o,M15t,M16,M16m,M16o,M16t,M17,country,experimentNumber,orderNumber,training,type,userId
89,1782,5,0,1,4,75253,1519,4533,69201,14340.7809237,0,98,6,False,c,12FRH06
90,8078,1,1,0,0,401150,762,16158,384230,9941.00457959,2,99,6,False,c,12FRH06
91,6821,0,0,0,0,47036,10585,34043,2408,5353.63716144,0,96,6,False,s,12FRH06
92,17599,1,0,1,0,432612,2810,418281,11521,12057.0804351,3,97,6,False,s,12FRH06
93,2727,1,0,0,1,31856,0,6251,25605,2462.28945537,0,94,6,False,n,12FRH06
94,9539,2,0,1,1,363927,0,347326,16601,6695.00153207,4,95,6,False,n,12FRH06
95,1584,1,0,1,0,99533,510,43651,55372,2761.05626493,0,86,9,False,e,6MDH09
96,9395,6,0,3,3,364180,0,195105,169075,6737.551782,3,87,9,False,e,6MDH09
97,1736,1,0,0,1,25156,0,1601,23555,4466.42619291,0,90,9,False,c,6MDH09
98,7703,1,0,0,1,257547,0,71723,185824,13877.4538945,4,91,9,False,c,6MDH09
99,127229,0,0,0,0,202665,296,163863,38506,9356.04751946,0,84,9,False,s,6MDH09
100,19923,5,0,4,1,353418,0,349182,4236,17762.3776451,2,85,9,False,s,6MDH09
101,2214,0,0,0,0,12421,0,6160,6261,2964.64073483,0,88,9,False,n,6MDH09
102,8492,6,0,4,2,-1473940253394,0,227877,-1473940481271,7339.21358293,1,89,9,False,n,6MDH09
103,1392,1,0,0,1,55067,0,6617,48450,2830.34318479,0,111,8,False,e,13MM08
104,17028,1,0,0,1,286337,255,124376,161706,14171.6426103,4,112,8,False,e,13MM08
105,21545,0,0,0,0,64510,24,9237,55249,6997.55420682,0,109,8,False,c,13MM08
106,8878,4,1,0,3,245666,1498,15051,229117,9859.06789567,1,110,8,False,c,13MM08
107,9404,2,0,0,2,148752,5432,62775,80545,19204.4455417,0,107,8,False,s,13MM08
108,11721,3,0,1,2,282300,21211,49240,211849,28126.4629471,2,108,8,False,s,13MM08
109,1129,1,0,0,1,15795,0,4782,11013,2474.66432489,0,113,8,False,n,13MM08
110,7791,3,0,0,3,-1474025936664,0,42367,-1474025979031,10390.8661484,3,114,8,False,n,13MM08
111,6884,1,0,1,0,445916,401,416925,28590,6819.30018478,4,102,11,False,e,12JR11
112,2099,1,0,1,0,37546,0,4493,33053,5047.08571686,0,105,11,False,c,12JR11
113,6780,2,0,2,0,444497,0,14755,429742,14765.7176994,3,106,11,False,c,12JR11
114,5042,1,0,0,1,-1474017160817,24,26688,-1474017187529,5384.75138803,0,103,11,False,s,12JR11
115,13584,1,0,0,1,435082,11160,423644,278,12501.2462329,1,104,11,False,s,12JR11
116,1758,0,0,0,0,-1474015261704,0,171589,-1474015433293,3020.28665492,0,100,11,False,n,12JR11
117,6613,1,0,0,1,421694,0,392774,28920,7521.4518068,2,101,11,False,n,12JR11
118,3749,14,0,2,12,69819,0,3431,66388,11017.597408,0,172,10,False,e,10F
119,16564,26,0,2,24,553576,0,106620,446956,45665.9691888,3,173,10,False,e,10F
120,3124,7,0,1,6,70800,0,6844,63956,29085.9662784,0,174,10,False,c,10F
121,9215,30,0,1,29,467384,0,70782,396602,46756.3127286,4,175,10,False,c,10F
122,8193,15,0,5,10,106340,11578,23823,70939,23985.7382702,0,170,10,False,s,10F
123,19903,72,0,2,70,342318,28403,56331,257584,87806.2383615,2,171,10,False,s,10F
124,1982,6,0,0,6,39973,0,9935,30038,10926.1745885,0,176,10,False,n,10F
125,9855,23,0,1,22,485015,0,95226,389789,33487.1790218,1,177,10,False,n,10F
126,2052,1,0,1,0,39184,0,25261,13923,2322.73473037,0,135,13,False,e,17MRW13
127,22450,1,0,1,0,272015,3523,264686,3806,9065.89896526,2,136,13,False,e,17MRW13
128,1359,1,0,0,1,41488,0,16673,24815,8036.61681103,0,133,13,False,c,17MRW13
129,8691,4,0,1,3,298730,0,53475,245255,13313.50696,1,134,13,False,c,17MRW13
130,2011,1,1,0,0,17481,4137,13032,312,6137.60546362,0,137,13,False,s,17MRW13
131,74855,0,0,0,0,331516,552,330614,350,17733.825809,4,138,13,False,s,17MRW13
132,5162,1,0,1,0,-1474278730001,0,57224,-1474278787225,4353.95102041,0,131,13,False,n,17MRW13
133,7744,1,0,1,0,-1474278748913,0,-1474278761874,12961,7403.44961158,3,132,13,False,n,17MRW13
134,57077,0,0,0,0,141843,0,4006,137837,6830.74783461,0,188,12,False,e,12F
135,41676,1,0,0,1,466692,650,95403,370639,17599.5600781,4,189,12,False,e,12F
136,28764,0,0,0,0,62342,1475,4318,56549,4726.46420774,0,190,12,False,c,12F
137,57493,4,0,0,4,240934,184,146282,94468,10765.0076535,3,191,12,False,c,12F
