,M10,M11,M12,M12m,M12o,M12t,M13m,M13o,M13t,M3,M3m,M3o,M3t,M4,M4m,M4o,M4perSec,M4t,M5,M5m,M5o,M5t,M6,M6m,M6o,M6t,M7,M8,M9,V10t,country,experimentNumber,orderNumber,training,type,userId
45,0,22.116,17.268,0.0,0.648,16.62,0.0,0.0375260597637,0.962473940236,0.200790697674,0.0,0.216,0.200240963855,86,0,3,3.888587448,83,177.598521759,0.0,40.6645065363,168.038364158,0.0570352941176,0.0,0.036,0.0552,0,0.0,,4,0,5,1,False,n,1MQ2201
46,0,417.888,319.032,0.0,10.044,308.988,0.0,0.0314827352742,0.968517264726,0.220022068966,0.0,0.228272727273,0.219763869132,1450,0,44,3.46982923654,1406,137.948972186,0.0,74.7977023435,139.518068816,0.0682236024845,0.0,0.0487058823529,0.069091436865,0,0.0,,9,4,6,1,False,n,1MQ2201
47,4,69.864,55.344,0.948,6.984,47.412,0.0171292281006,0.126192541197,0.856678230703,0.217035294118,0.158,0.194,0.222591549296,255,6,36,3.64994847132,213,192.064565234,84.8273495736,174.547591863,152.683995547,0.0571653543307,0.06,0.0515294117647,0.0496875,5,1.25,366.989269218,5,0,7,3,False,e,2ML3603
48,4,204.876,157.752,1.692,10.5,145.56,0.0107256960292,0.066560170394,0.922714133577,0.184505263158,0.2115,0.175,0.184955527319,855,8,60,4.17325601827,787,145.5618184,130.247436948,104.753144422,142.212236255,0.0551803278689,0.048,0.046875,0.0550858652576,6,0.3,473.758396201,11,1,8,3,False,e,2ML3603
49,1,43.644,35.148,0.372,2.1,32.676,0.0105838170024,0.0597473540457,0.929668828952,0.204348837209,0.186,0.175,0.206810126582,172,2,12,3.94097699569,158,160.603908939,0.0,101.187129712,159.738738232,0.0496842105263,0.0,0.0408,0.04872,2,0.5,384.424411591,4,0,11,3,False,c,2ML3603
50,9,196.8,152.448,2.448,14.604,135.396,0.0160579345088,0.0957965994962,0.888145465995,0.196200772201,0.174857142857,0.208628571429,0.195376623377,777,14,70,3.94817073171,693,153.861006338,45.947771552,73.0488775166,150.331273933,0.0571546391753,0.032,0.0406829268293,0.0563691376702,11,0.55,432.653048775,11,2,12,3,False,c,2ML3603
51,16,251.232,188.784,21.432,25.08,142.272,0.113526570048,0.132850241546,0.753623188406,0.185082352941,0.230451612903,0.20064,0.177396508728,1020,93,125,4.05999235766,802,147.335180035,91.7829769994,127.728363676,140.954059105,0.0612836113837,0.044,0.0549677419355,0.0523932729625,29,1.45,356.407515762,12,3,10,3,False,s,2ML3603
52,5,102.444,81.36,1.284,6.444,73.632,0.0157817109145,0.079203539823,0.905014749263,0.191886792453,0.1284,0.184114285714,0.194279683377,424,10,35,4.13884658936,379,148.090659932,87.6611992956,155.670008414,143.529991916,0.0498439716312,0.044,0.048,0.0495537190083,7,1.75,288.157378515,5,0,9,3,False,s,2ML3603
53,0,63.696,49.332,0.0,6.912,42.42,0.0,0.140111894916,0.859888105084,0.191953307393,0.0,0.181894736842,0.193698630137,257,0,38,4.03479025371,219,151.422485236,0.0,73.0954663685,152.778407758,0.056109375,0.0,0.048,0.0574869109948,0,0.0,,4,0,13,3,False,n,2ML3603
54,0,216.768,172.872,0.0,7.056,165.816,0.0,0.0408163265306,0.959183673469,0.197568,0.0,0.207529411765,0.197165279429,875,0,34,4.03657366401,841,148.542914496,0.0,81.6377915471,147.861668385,0.0502242562929,0.0,0.039,0.0502564102564,0,0.0,,9,4,14,3,False,n,2ML3603
