,M10,M11,M12,M12m,M12o,M12t,M13m,M13o,M13t,M3,M3m,M3o,M3t,M4,M4m,M4o,M4perSec,M4t,M5,M5m,M5o,M5t,M6,M6m,M6o,M6t,M7,M8,M9,V10t,country,experimentNumber,orderNumber,training,type,userId,M1,M18,M19,M2,M20,M21,M22,M23,M24,M25,M26,M29,M2country,M30,M30country,country,experimentNumber,orderNumber,training,type,userId,M14,M15,M15m,M15o,M15t,M16,M16m,M16o,M16t,M17,country,experimentNumber,orderNumber,training,type,userId
20,6,40.77,31.49,4.07,6.27,21.15,0.12924738012067324,0.19911082883455064,0.6716417910447761,0.20316129032258062,0.20350000000000001,0.18999999999999997,0.20735294117647057,155,20,33,3.8018150600932055,102,147.7623169784289,209.400395880205,131.44320708646023,129.5224643070325,0.060259740259740256,0.056999999999999995,0.05736842105263158,0.06329787234042554,12,3.0,364.798499080959,4,0,38,21,False,s,3MW2421,0.5,2,1,0.5,2,11,3,1,1,20,6,3,,0.25,,0,38,21,False,s,3MW2421,8104,1,1,0,0,44612,3990,39886,736,5029.264225716599,0,38,21,False,s,3MW2421
21,16,352.33,275.67,7.23,30.63,237.81,0.026227010556099686,0.1111111111111111,0.8626618783327892,0.21757695343330705,0.2126470588235294,0.22522058823529412,0.21678213309024613,1267,34,136,3.5960605114523316,1097,132.71745591313282,145.32317490953213,119.15304239005654,123.79533788052507,0.06055292259083728,0.05307692307692307,0.06918604651162791,0.05631528964862298,25,1.25,380.5678722210255,11,1,39,21,False,s,3MW2421,0.375,11,1,0.5,2,11,3,1,1,20,6,3,0.5,0.25,0.25,1,39,21,False,s,3MW2421,25959,1,0,1,0,352588,512,350757,1319,11588.619553782857,1,39,21,False,s,3MW2421
22,0,37.37,29.37,0.0,1.4,27.97,0.0,0.047667688117126315,0.9523323118828736,0.20255172413793104,0.0,0.27999999999999997,0.1997857142857143,145,0,5,3.8801177415038803,140,155.67261432310886,0.0,68.12530528318051,151.71224216097954,0.05555555555555555,0.0,0.04,0.05555555555555555,0,0.0,,4,0,36,21,False,n,3MW2421,0.5,2,2,0.625,2,11,3,1,1,20,3,4,,0.125,,0,36,21,False,n,3MW2421,2784,1,0,0,1,38787,0,37271,1516,1980.0368317840337,0,36,21,False,n,3MW2421
23,0,320.74,260.42,0.0,4.36,256.06,0.0,0.01674218570002304,0.9832578142999769,0.2206949152542373,0.0,0.21800000000000003,0.22074137931034482,1180,0,20,3.6789923302363285,1160,128.75814796876958,0.0,145.3882805990062,127.60427823023726,0.05116200169635284,0.0,0.05,0.050804195804195804,0,0.0,,11,2,37,21,False,n,3MW2421,0.875,11,1,0.625,2,11,5,1,1,20,3,4,0.625,0.125,0.125,2,37,21,False,n,3MW2421,10692,1,0,0,1,321055,0,291727,29328,5612.218170990695,2,37,21,False,n,3MW2421
24,5,101.688,84.348,3.732,13.572,67.044,0.04424526959738228,0.16090482287665386,0.7948499075259639,0.2980494699646643,0.37320000000000003,0.3084545454545454,0.2927685589519651,283,10,44,2.7830225788686964,229,177.94657746576183,131.4387224510187,184.41143495741787,149.26279119051526,0.06148936170212766,0.12,0.07296,0.054288461538461535,7,1.75,548.6004443849425,4,0,198,22,False,e,22F,0.5,8,1,0.375,10,16,12,1,8,13,11,2,,0.125,,0,198,22,False,e,22F,23014,0,0,0,0,102984,0,62302,40682,2405.39129549113,0,198,22,False,e,22F
25,16,887.88,707.34,54.708,76.764,575.868,0.07734328611417422,0.10852489608957502,0.8141318177962508,0.2382418322667565,0.3335853658536585,0.3046190476190476,0.22556521739130436,2969,164,252,3.343920349596792,2553,119.46281108601578,85.2229727273053,80.11044717460328,109.92659224704583,0.0608288409703504,0.054976744186046506,0.04614705882352941,0.0503466447097571,35,1.75,466.9482890637765,13,3,199,22,False,e,22F,0.5,15,2,0.375,8,15,17,8,8,13,11,2,0.375,0.125,0.125,3,199,22,False,e,22F,410744,1,0,0,1,890636,0,265724,624912,21802.65735306502,3,199,22,False,e,22F
26,4,213.66,169.62,3.552,14.076,151.992,0.02094092677750265,0.08298549699327909,0.8960735762292181,0.20889162561576355,0.2368,0.276,0.2037426273458445,812,15,51,3.800430590658055,746,128.32714972269252,81.2346358041957,160.4160089846503,116.95223674593251,0.054303329223181256,0.038400000000000004,0.11314285714285714,0.050546463245492376,10,2.5,435.4763215778792,4,0,194,22,False,c,22F,0.25,9,4,0.25,13,15,16,1,14,1,1,4,,0.5,,0,194,22,False,c,22F,60862,3,0,0,3,214884,0,3174,211710,5414.759827682691,0,194,22,False,c,22F
27,21,817.32,658.692,48.912,50.688,559.092,0.0742562533019985,0.0769525058752801,0.8487912408227214,0.219930550918197,0.3155612903225806,0.2425263157894737,0.21250171037628277,2995,155,209,3.66441540645035,2631,122.32516159502359,71.47059131712874,76.43736235298509,109.29148459320416,0.05298196392785571,0.07493877551020409,0.046226086956521736,0.049100313479623826,68,3.4,541.8537427950779,9,4,195,22,False,c,22F,0.75,16,1,0.25,9,13,15,8,14,1,1,4,0.25,0.5,0.5,4,195,22,False,c,22F,21650,4,0,1,3,818860,0,44218,774642,22500.434126937467,4,195,22,False,c,22F
28,5,20.748,17.136,1.992,5.436,9.708,0.11624649859943978,0.3172268907563025,0.5665266106442577,0.238,0.22133333333333333,0.20133333333333334,0.26966666666666667,72,9,27,3.470213996529786,36,184.38288158860763,121.43757696170837,215.88507969253135,114.97142033049516,0.05087323943661972,0.04,0.0552,0.04476923076923077,6,1.5,417.73845796884535,4,0,200,22,False,s,22F,0.5,5,1,0.5,7,17,3,1,1,20,15,3,,0.25,,0,200,22,False,s,22F,2742,0,0,0,0,20176,2977,10509,6690,5229.1853138695105,0,200,22,False,s,22F
29,19,609.348,493.332,37.656,50.892,404.784,0.07632993602685413,0.1031597382695629,0.820510325703583,0.2230253164556962,0.2831278195488722,0.24119431279620854,0.21669379014989293,2212,133,211,3.630109559726134,1868,124.87369370595549,112.5870285383187,148.63387541841882,107.78225764651589,0.052472184531886026,0.04681318681318681,0.07665671641791046,0.04751252086811352,52,2.6,407.6139898893837,12,1,201,22,False,s,22F,0.5,16,2,0.5,9,14,16,3,1,20,15,3,0.5,0.25,0.25,1,201,22,False,s,22F,36019,1,0,0,1,611323,2991,500101,108231,33879.46431702543,1,201,22,False,s,22F
